product,test_key,lower_limit,upper_limit
BR0045,MDA,-1.5,1.5
BR0045,MDB,-1.5,1.5
BR0045,MDL,-1.5,1.5
BR0045,STR,95,105
BR0045,TDA,-0.6,0.6
BR0045,TDB,-0.6,0.6
BR0045,TDL,-0.6,0.6
YL0036,MDA,-0.5,0.5
YL0036,MDB,-0.5,0.5
YL0036,MDL,-0.5,0.5
YL0036,STR,95,105
YL0036,TDA,-0.5,0.5
YL0036,TDB,-0.5,0.5
YL0036,TDL,-0.5,0.5
