RMIX Batch,Fin Batch,MDL,MDA,MDB,TDL,TDA,TDB,STR
68089,3044,-0.6,-0.1,-0.3,-0.1,-0.1,-0.3,100
68090,3045,-0.6,-0.2,-0.5,-0.2,-0.2,-0.5,101
68091,3046,-0.2,-0.1,-0.3,-0.2,-0.2,-0.4,101
68404,3081,-0.3,-0.1,-0.3,0.1,-0.2,-0.4,99
68405,3082,0.3,0,-0.1,0.3,0,-0.2,98
68406,3083,-0.1,0,-0.2,-0.2,-0.1,-0.2,101
68628,3615,3.3,0.3,0.4,2.4,0.1,1.1,85
68629,3617,-0.5,-0.2,-0.5,0.2,-0.3,-0.5,98
68630,3618,-0.8,-0.3,-0.5,0.1,-0.5,-0.7,99
68631,3619,0.3,-0.3,-1.3,0.8,-0.3,-0.9,93
13597,13631,-0.6,-0.2,-0.5,-0.4,-0.2,-0.6,102
13598,13632,-0.7,-0.3,-0.5,0,-0.3,-0.6,99
13599,13633,1.1,0.1,-0.2,0.5,0.1,0.2,97
13600,13630,-0.8,-0.4,-0.6,0,-0.4,-0.7,100
14763,14798,-1,-0.3,-0.5,0.1,-0.4,-0.7,99
14765,14799,-0.9,-0.4,-0.6,0.5,-0.5,-0.8,96
14766,14800,-0.4,-0.3,0,1,-0.5,-0.3,93
14767,14801,-0.6,-0.2,-0.3,0.2,-0.3,-0.5,98
15556,15561,-0.4,-0.3,-0.4,0.4,-0.3,-0.4,97
15557,15560,-0.8,-0.2,-0.3,0.1,-0.3,-0.5,99
16203,16253,0.1,0.1,0.1,-0.2,0.1,0.1,102
16204,16254,-0.5,-0.1,-0.2,-0.5,0,-0.2,103
18751,18967,-0.5,-0.2,-0.4,-0.3,-0.1,-0.4,102
19365,19390,0.2,0.2,0.5,0.4,0,0.3,98
19689,19391,-0.4,0,-0.1,-0.4,0.1,-0.1,103
19690,19709,-0.1,0,0.3,0.2,-0.1,0.1,99
19364,19710,-0.2,-0.1,0.1,0.5,-0.2,0.1,97
20401,20422,-0.4,-0.1,-0.8,0.3,-0.2,-0.7,97
20580,20598,-0.2,-0.1,-0.2,0.5,-0.2,-0.3,96
20581,20599,0.2,0.1,0,-0.1,0,0,101
20964,21029,0.1,-0.1,0,0.7,-0.2,-0.1,96
20967,21030,0.4,0,-0.2,0.9,-0.1,-0.1,94
21005,21027,0.7,0.1,0.2,0.9,-0.1,0.1,94
22024,22061,1,-0.1,-0.5,0.5,0,0,96
22026,22062,1.6,0.3,1.3,1.8,-0.1,1.2,90
22319,22337,0.3,0,-0.3,-0.1,0,-0.1,100
22324,22338,0.3,0,-0.3,0.1,0.1,0,99
22810,22840,0.3,0,-0.1,0.3,0,-0.1,98
22811,22841,0.9,0.2,0,-0.2,0.2,0.2,101
22813,22842,0.3,0,-0.2,0.2,0,-0.1,99
22817,22839,0.7,0,-0.3,0.8,-0.1,0,94
23654,23675,0.3,0.2,0.2,0,0.1,0.1,100
23655,23676,0.5,0.1,-0.1,0.3,0,0,98
23656,23677,0.2,0.1,-0.2,-0.1,0.1,0,101
23657,23678,-0.1,-0.1,-0.3,0.2,-0.1,-0.1,98
24164,24181,0.2,0.1,-0.1,0.2,0,-0.1,98
24165,24182,0.5,0.1,-0.2,-0.1,0,-0.1,100
24167,24230,0,-0.1,-0.3,0.3,-0.2,-0.3,97
24221,24231,0.2,-0.1,-0.2,0.2,-0.2,-0.2,99
